"site","place_name","date","latitude","longitude","sp","collection_method","Life_stage","Count"
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Leptocottus armatus","beach seine","adult/non-larval juveniles",26
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Lottia_sp","hand","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Gadus chalcogrammus","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Hexagrammidae sp.","beach seine","adult/non-larval juveniles",4
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Pagurus spp.","crab pot","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Hexagrammos stelleri","beach seine","adult/non-larval juveniles",17
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Clupea pallasii","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Leptocottus armatus","beach seine","adult/non-larval juveniles",12
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Lumpenus sagitta","beach seine","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Myoxocephalus sp.","beach seine","adult/non-larval juveniles",71
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",312
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Oncorhynchus keta","beach seine","adult/non-larval juveniles",75
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Cottidae","beach seine","adult/non-larval juveniles",3
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Enophrys bison","beach seine","adult/non-larval juveniles",5
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Pallasina barbata","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Pholidae","beach seine","adult/non-larval juveniles",5
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Pholis laeta","beach seine","adult/non-larval juveniles",26
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Hexagrammos octogrammus","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Pleuronectidae","beach seine","adult/non-larval juveniles",3
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Lepidopsetta spp.","beach seine","adult/non-larval juveniles",4
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",38
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Teleostei","beach seine","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Metacarcinus magister","crab pot","adult/non-larval juveniles",3
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Telmessus cheiragonus","crab pot","adult/non-larval juveniles",4
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Aulorhynchus flavidus","beach seine","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Blepsias cirrhosus","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Oncorhynchus kisutch","beach seine","adult/non-larval juveniles",4
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Caprella_alaskana","hand","adult/non-larval juveniles",0
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Oncorhynchus tshawytscha","beach seine","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Littorina_sp","hand","adult/non-larval juveniles",0
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Platichthys stellatus","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Podothecus accipenserinus","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Gammarid_amphipod","hand","adult/non-larval juveniles",3
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Idothea_rascata","hand","adult/non-larval juveniles",2
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Artedius spp.","beach seine","adult/non-larval juveniles",1
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Oncorhynchus gorbuscha","beach seine","adult/non-larval juveniles",8
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Lottia_sp","hand","adult/non-larval juveniles",20
"2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,"Polychaeta_sp","hand","adult/non-larval juveniles",65
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Artedius spp.","beach seine","adult/non-larval juveniles",1
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Hemigrapsus","crab pot","adult/non-larval juveniles",2
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Metacarcinus magister","crab pot","adult/non-larval juveniles",2
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Pholis laeta","beach seine","adult/non-larval juveniles",8
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Littorina_sp","hand","adult/non-larval juveniles",8
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Gammarid_amphipod","hand","adult/non-larval juveniles",23
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Pagurus spp.","crab pot","adult/non-larval juveniles",185
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Leptocottus armatus","beach seine","adult/non-larval juveniles",44
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Parophrys vetulus","beach seine","adult/non-larval juveniles",41
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",3099
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Lumpenus sagitta","beach seine","adult/non-larval juveniles",97
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Oncorhynchus keta","beach seine","adult/non-larval juveniles",1
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Enophrys bison","beach seine","adult/non-larval juveniles",1
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Myoxocephalus sp.","beach seine","adult/non-larval juveniles",12
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Hexagrammos stelleri","beach seine","adult/non-larval juveniles",7
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Lepidopsetta spp.","beach seine","adult/non-larval juveniles",1
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Caprella_alaskana","hand","adult/non-larval juveniles",6
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",5
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Idothea_rascata","hand","adult/non-larval juveniles",5
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Aulorhynchus flavidus","beach seine","adult/non-larval juveniles",2
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Polychaeta_sp","hand","adult/non-larval juveniles",45
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Lottia_sp","hand","adult/non-larval juveniles",67
"2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,"Platichthys stellatus","beach seine","adult/non-larval juveniles",6
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Hemilepidotus sp. ","beach seine","adult/non-larval juveniles",3
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Hexagrammos stelleri","beach seine","adult/non-larval juveniles",7
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",133
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Leptocottus armatus","beach seine","adult/non-larval juveniles",26
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Aulorhynchus flavidus","beach seine","adult/non-larval juveniles",22
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Gadus macrocephalus","beach seine","adult/non-larval juveniles",106
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Rhamphocottus richardsonii","beach seine","adult/non-larval juveniles",5
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Hemigrapsus","crab pot","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",15
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Cymatogaster aggregata","beach seine","adult/non-larval juveniles",21
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Decapoda","crab pot","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Lepidopsetta spp.","beach seine","adult/non-larval juveniles",4
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Temessus cheiragonus","crab pot","adult/non-larval juveniles",18
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Pagurus spp.","crab pot","adult/non-larval juveniles",4
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Isopsetta isolepis","beach seine","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Apodichthys flavidus","beach seine","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Artedius spp.","beach seine","adult/non-larval juveniles",16
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Nautichthys oculofasciatus","beach seine","adult/non-larval juveniles",3
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Clupea pallasii","beach seine","adult/non-larval juveniles",343
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Parophrys vetulus","beach seine","adult/non-larval juveniles",7
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Pholis laeta","beach seine","adult/non-larval juveniles",34
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Metacarcinus magister","crab pot","adult/non-larval juveniles",5
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Gammarid_amphipod","hand","adult/non-larval juveniles",30
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Pugettia producta ","crab pot","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Telmessus cheiragonus","crab pot","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Myoxocephalus polyacanthocephalus","beach seine","adult/non-larval juveniles",4
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Anoplarchus insignis","beach seine","adult/non-larval juveniles",2
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Lumpenus sagitta","beach seine","adult/non-larval juveniles",167
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Polychaeta_sp","hand","adult/non-larval juveniles",65
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Littorina_sp","hand","adult/non-larval juveniles",4
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Myoxocephalus sp.","beach seine","adult/non-larval juveniles",3
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Pallasina barbata","beach seine","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Caprella_alaskana","hand","adult/non-larval juveniles",2
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Lottia_sp","hand","adult/non-larval juveniles",36
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Ammodytes personatus","beach seine","adult/non-larval juveniles",1
"2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,"Idothea_rascata","hand","adult/non-larval juveniles",10
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Littorina_sp","hand","adult/non-larval juveniles",9
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Artedius spp.","beach seine","adult/non-larval juveniles",10
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Cancer productus ","crab pot","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Hemigrapsus","crab pot","adult/non-larval juveniles",2
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Cymatogaster aggregata","beach seine","adult/non-larval juveniles",14
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Artedius fenestralis","beach seine","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Lepidopsetta spp.","beach seine","adult/non-larval juveniles",5
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Leptocottus armatus","beach seine","adult/non-larval juveniles",16
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Lumpenus sagitta","beach seine","adult/non-larval juveniles",166
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",964
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Caprella_alaskana","hand","adult/non-larval juveniles",71
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Pholis laeta","beach seine","adult/non-larval juveniles",55
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Hemilepidotus sp. ","beach seine","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Hexagrammos octogrammus","beach seine","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Platichthys stellatus","beach seine","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",15
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Oregonia gracilis","crab pot","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Pycnopodia helianthoides","crab pot","adult/non-larval juveniles",1
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Isopsetta isolepis","beach seine","adult/non-larval juveniles",2
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Polychaeta_sp","hand","adult/non-larval juveniles",32
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Temessus cheiragonus","crab pot","adult/non-larval juveniles",2
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Myoxocephalus sp.","beach seine","adult/non-larval juveniles",20
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Idothea_rascata","hand","adult/non-larval juveniles",15
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Lottia_sp","hand","adult/non-larval juveniles",69
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Gammarid_amphipod","hand","adult/non-larval juveniles",37
"2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,"Metacarcinus magister","crab pot","adult/non-larval juveniles",10
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Temessus cheiragonus","crab pot","adult/non-larval juveniles",7
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Telmessus cheiragonus","crab pot","adult/non-larval juveniles",3
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Myoxocephalus sp.","beach seine","adult/non-larval juveniles",9
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Nautichthys oculofasciatus","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Oncorhynchus keta","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Oncorhynchus kisutch","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Hexagrammos stelleri","beach seine","adult/non-larval juveniles",2
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Lepidopsetta spp.","beach seine","adult/non-larval juveniles",14
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Leptocottus armatus","beach seine","adult/non-larval juveniles",13
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Lumpenus sagitta","beach seine","adult/non-larval juveniles",153
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Myoxocephalus polyacanthocephalus","beach seine","adult/non-larval juveniles",4
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Oregonia gracilis","crab pot","adult/non-larval juveniles",2
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Pagurus spp.","crab pot","adult/non-larval juveniles",9
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Littorina_sp","hand","adult/non-larval juveniles",0
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Platichthys stellatus","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Parophrys vetulus","beach seine","adult/non-larval juveniles",10
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Pholis laeta","beach seine","adult/non-larval juveniles",76
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Cryptacanthodes giganteus","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Rhamphocottus richardsonii","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",17
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Polychaeta_sp","hand","adult/non-larval juveniles",84
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Pleuronectidae","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Artedius spp.","beach seine","adult/non-larval juveniles",21
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Caprella_alaskana","hand","adult/non-larval juveniles",0
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Metacarcinus magister","crab pot","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Metacarcinus gracilis","crab pot","adult/non-larval juveniles",4
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",6
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Cymatogaster aggregata","beach seine","adult/non-larval juveniles",11
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Gadus macrocephalus","beach seine","adult/non-larval juveniles",15
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Anoplarchus insignis","beach seine","adult/non-larval juveniles",1
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Idothea_rascata","hand","adult/non-larval juveniles",4
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Lottia_sp","hand","adult/non-larval juveniles",9
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Clupea pallasii","beach seine","adult/non-larval juveniles",2
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Teleostei","beach seine","adult/non-larval juveniles",3
"2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,"Gammarid_amphipod","hand","adult/non-larval juveniles",26
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Decapoda","crab pot","adult/non-larval juveniles",1
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",17
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Myoxocephalus polyacanthocephalus","beach seine","adult/non-larval juveniles",3
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Gadus macrocephalus","beach seine","adult/non-larval juveniles",2
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Citharichthys sordidus","beach seine","adult/non-larval juveniles",1
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Cancer productus","crab pot","adult/non-larval juveniles",4
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Lumpenus sagitta","beach seine","adult/non-larval juveniles",20
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Pagurus spp.","crab pot","adult/non-larval juveniles",9
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Cymatogaster aggregata","beach seine","adult/non-larval juveniles",135
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Littorina_sp","hand","adult/non-larval juveniles",51
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Aulorhynchus flavidus","beach seine","adult/non-larval juveniles",13
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Polychaeta_sp","hand","adult/non-larval juveniles",67
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",91
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Caprella_alaskana","hand","adult/non-larval juveniles",34
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Metacarcinus magister","crab pot","adult/non-larval juveniles",5
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Ophiodon elongatus","beach seine","adult/non-larval juveniles",5
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Artedius spp.","beach seine","adult/non-larval juveniles",8
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Pugettia producta ","crab pot","adult/non-larval juveniles",10
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Temessus cheiragonus","crab pot","adult/non-larval juveniles",8
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Hexagrammos stelleri","beach seine","adult/non-larval juveniles",11
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Leptocottus armatus","beach seine","adult/non-larval juveniles",18
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Apodichthys flavidus","beach seine","adult/non-larval juveniles",1
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Sebastes auriculatus","beach seine","adult/non-larval juveniles",4
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Nautichthys oculofasciatus","beach seine","adult/non-larval juveniles",2
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Idothea_rascata","hand","adult/non-larval juveniles",77
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Lottia_sp","hand","adult/non-larval juveniles",2
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Pholis laeta","beach seine","adult/non-larval juveniles",83
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Telmessus cheiragonus","crab pot","adult/non-larval juveniles",1
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Gammarid_amphipod","hand","adult/non-larval juveniles",18
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Hemilepidotus sp.","beach seine","adult/non-larval juveniles",14
"2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,"Sebastes brevispinis","beach seine","adult/non-larval juveniles",1
